RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022
35557,3818,Eufaula,City,AL,AL,Eufaula,Barbour County,125185,127721,129158,129860,130208,130974,131673,132768,133765,134773,137414,139519,142579
9273,3834,Valley,City,AL,AL,Valley,Chambers County,99559,101151,102157,103349,104408,105345,106404,107315,107926,107940,110014,111929,114402
27029,3905,Selma,City,AL,AL,Selma,Dallas County,49328,49761,50054,50230,50356,50518,50922,51535,51817,51776,52350,52941,53909
35809,3938,Moulton,City,AL,AL,Decatur,Lawrence County,134622,136308,137158,138521,140216,141585,142619,143552,144585,145237,148303,151072,155407
44402,3962,Calera,City,AL,AL,Birmingham-Hoover,Shelby County,186763,189695,192806,195142,197150,199368,202488,205290,207728,209064,211055,213735,216258
26484,4044,Piedmont,City,AL,AL,Anniston-Oxford-Jacksonville,Calhoun County,94207,95839,96707,98010,99742,101950,103997,105369,106222,106805,108082,109330,112239
35388,4053,Killen,City,AL,AL,Florence-Muscle Shoals,Lauderdale County,177572,182642,184531,187390,188570,191832,194859,198475,202026,206788,210759,215255,219674
50142,4090,Spanish Fort,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,281738,283971,287206,290693,297193,303197,309625,316131,322675,329215,334941,341385,347879
26348,4093,Owens Cross Roads,City,AL,AL,Huntsville,Madison County,330106,334082,338786,346764,354806,362741,368761,376322,385744,393822,401952,409324,418388
6798,4103,Robertsdale,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,179432,181169,184034,186489,191529,196410,201163,205768,209559,214273,217844,222027,225712
11724,4107,Greenville,City,AL,AL,,Butler County,84508,85771,86388,87376,87969,88199,88509,89010,89743,90061,91746,93407,95505
11667,4114,Grand Bay,City,AL,AL,Mobile,Mobile County,155147,157085,159959,163471,167671,171672,175451,177470,179446,181127,183666,186255,189315
53328,4116,Millbrook,City,AL,AL,Montgomery,Elmore County,152150,153150,154183,155245,157126,159515,161424,162889,163684,164326,165303,166015,167428
14079,4118,Tallassee,City,AL,AL,Montgomery,Elmore County,125721,126525,127170,127893,129086,130494,131435,132825,134008,135127,136730,137852,139553
18411,4118,Gulf Shores,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,316984,320176,325507,331407,340118,347451,353727,361763,370262,378928,386015,395937,407971
51616,4246,Cullman,City,AL,AL,Cullman,Cullman County,165758,168672,170379,171909,173320,174599,176122,177414,178595,179410,183019,186829,193473
41289,4419,Troy,City,AL,AL,Troy,Pike County,152625,154885,156005,157461,158673,159826,160865,161923,162749,163360,166230,169185,172729
52592,4463,Hueytown,City,AL,AL,Birmingham-Hoover,Jefferson County,128528,130205,131384,133743,136119,139732,142238,144663,146321,148570,151350,153791,156737
11847,4508,Hazel Green,City,AL,AL,Huntsville,Madison County,188719,191151,193240,197036,201577,205902,209137,212701,217975,222971,228047,232495,236950
26971,4536,Saraland,City,AL,AL,Mobile,Mobile County,171464,173004,175025,178601,182476,186079,188816,190628,192629,194255,195978,198324,201403
55892,4648,Lanett,City,AL,AL,Valley,Chambers County,68586,69855,70526,71487,72242,72828,73363,73898,74541,74797,76158,77461,79342
44702,4718,Columbiana,City,AL,AL,Birmingham-Hoover,Shelby County,206463,210682,214512,216594,218191,220670,223995,226450,228480,229957,233525,237863,241307
13972,4752,Springville,City,AL,AL,Birmingham-Hoover,Saint Clair County,251376,252981,255370,258902,263762,269191,271909,273457,275006,278905,285892,290350,293840
22177,4769,Moody,City,AL,AL,Birmingham-Hoover,Saint Clair County,205970,207507,209345,211513,214520,218042,221066,224188,227954,233132,236561,237376,236836
33694,4815,Roanoke,City,AL,AL,,Randolph County,78031,79538,80533,81099,81787,82074,82457,82645,82994,83253,84757,86549,89101
23540,4834,Attalla,City,AL,AL,Gadsden,Etowah County,70559,71948,73012,74547,76563,78232,79998,81573,83671,84938,87208,89058,91711
31697,4838,Gardendale,City,AL,AL,Birmingham-Hoover,Jefferson County,198930,200996,202512,205605,209091,214303,218384,222219,225152,228596,232511,235636,239704
12066,4886,Irvington,City,AL,AL,Mobile,Mobile County,144138,146094,148230,150736,154202,157881,161463,163919,166190,168230,171113,173993,177319
36819,4921,Cottondale,City,AL,AL,Tuscaloosa,Tuscaloosa County,162698,163801,165868,166951,168451,169532,172315,174639,176952,178773,181314,183935,186435
53384,4947,Monroeville,City,AL,AL,,Monroe County,91089,92534,94039,95738,97586,98699,99633,100317,101371,102212,104162,106165,108330
