Region,RegionName,StateName,ForecastedDate,ForecastYoYPctChange
Zip,36323,AL,28/02/2023,12.5
Zip,36330,AL,28/02/2023,12.8
Zip,36340,AL,28/02/2023,14.3
Zip,36343,AL,28/02/2023,20.6
Zip,36344,AL,28/02/2023,14.3
Zip,36345,AL,28/02/2023,13.7
Zip,36346,AL,28/02/2023,13.5
Zip,36350,AL,28/02/2023,14.3
Zip,36351,AL,28/02/2023,12.8
Zip,36352,AL,28/02/2023,12.7
Zip,36353,AL,28/02/2023,15.6
Zip,36360,AL,28/02/2023,13.4
Zip,36362,AL,28/02/2023,4.6
Zip,36370,AL,28/02/2023,19
Zip,36373,AL,28/02/2023,15.5
Zip,36374,AL,28/02/2023,17.4
Zip,36375,AL,28/02/2023,13.6
Zip,36376,AL,28/02/2023,16.5
Zip,36453,AL,28/02/2023,16
Zip,36477,AL,28/02/2023,15.5
Zip,36505,AL,28/02/2023,16.5
Zip,36507,AL,28/02/2023,18.7
Zip,36509,AL,28/02/2023,22.5
Zip,36511,AL,28/02/2023,18.6
Zip,36521,AL,28/02/2023,16.9
Zip,36522,AL,28/02/2023,15.8
Zip,36523,AL,28/02/2023,18.7
Zip,36525,AL,28/02/2023,16.1
Zip,36526,AL,28/02/2023,18.5
Zip,36527,AL,28/02/2023,19.1
Zip,36528,AL,28/02/2023,18.5
Zip,36530,AL,28/02/2023,22.5
Zip,36532,AL,28/02/2023,19.5
Zip,36535,AL,28/02/2023,19.5
Zip,36541,AL,28/02/2023,18.2
Zip,36542,AL,28/02/2023,25.4
Zip,36544,AL,28/02/2023,17.5
Zip,36549,AL,28/02/2023,21.6
Zip,36550,AL,28/02/2023,20.2
Zip,36551,AL,28/02/2023,19.5
Zip,36555,AL,28/02/2023,18.5
Zip,36559,AL,28/02/2023,22.6
Zip,36560,AL,28/02/2023,16.4
Zip,36561,AL,28/02/2023,28.5
Zip,36562,AL,28/02/2023,20.6
Zip,36567,AL,28/02/2023,19.7
Zip,36571,AL,28/02/2023,17.1
Zip,36572,AL,28/02/2023,17
Zip,36574,AL,28/02/2023,22.8
Zip,36575,AL,28/02/2023,16.4
Zip,36576,AL,28/02/2023,20.3
Zip,36578,AL,28/02/2023,21.7
Zip,36579,AL,28/02/2023,19.1
Zip,36580,AL,28/02/2023,20
Zip,36582,AL,28/02/2023,16.3
Zip,36587,AL,28/02/2023,17.2
Zip,36602,AL,28/02/2023,15.4
Zip,36603,AL,28/02/2023,16.7
